162|S0402A|1%|0.0625W|321-1911-00
17.4|S0402A|1%|0.063W|321-5831-00
274|S0402A|1%|0.0625W|321-1914-00
100K|S0402A|0.5%|0.0625W|321-2780-00
174|S0402A|1%|0.063W|321-2340-00
374K|S0402A|1%|0.063W|321-2559-00
3.32K|S0402A|1%|0.0625W|321-1939-00
4.02K|S0402A|1%|0.063W|321-5829-00
121K|S0402A|1%|0.0625W|321-1974-00
4.22K|S0402A|1%|0.063W|321-5842-00
1.13K|S0402A|1%|0.063W|321-5852-00
24.9|S0402A|1%|0.063W|321-2540-00
0|S0402A|1%|0.0625W|321-1864-00
41.2K|S0402A|1%|0.063W|321-5869-00
162K|S0402A|1%|0.0625W|321-1977-00
13|S0402A|1%|0.0625W|321-1892-00
2.21K|S0402A|1%|0.0625W|321-1935-00
|S0402A|||321-2538-00
2K|S0402A|1%|0.0625W|321-1934-00
14K|S0402A|1%|.063W|321-2571-00
374|S0402A|1%|.063W|321-2518-00
35.7|S0402A|1%|0.0625W|321-1900-00
24.3|S0402A|1%|0.0625W|321-1897-00
6.04K|S0402A|1%|0.063W|321-5827-00
7.50K|S0402A|1%|0.0625W|321-1948-00
221|S0402A|1%|0.0625W|321-1912-00
909K|S0402A|1%|0.0625W|321-1994-00
12.1K|S0402A|1%|0.0625W|321-1952-00
10.2|S0402A|1%|.063W|321-2523-00
178|S0402A|1%|0.063W|321-5858-00
1|S0402A|1%|0.0625W|321-2031-00
127|S0402A|1%|.063W|321-2317-00
22.1|S0402A|1%|0.0625W|321-1896-00
2.37K|S0402A|1%|.063W|321-2528-00
475K|S0402A|1%|0.0625W|321-1987-00
75K|S0402A|1%|0.0625W|321-1970-00
10|S0402SPCSM_END|1%|0.0625W|321-1889-00
14.7|S0402A|1%|0.063W|321-5826-00
56.2|S0402A|1%|0.0625W|321-1903-00
280|S0402A|1%|0.063W|321-5861-00
34|S0402A|1%|0.0625W|321-2065-00
620|S0402A|0.1%|.05W|321-2779-00
95.3K|S0402A|1%|.063W|321-2580-00
22.6|S0402A|1%|0.063W|321-2526-00
15.4K|S0402A|1%|0.0625W|321-2692-00
3.57K|S0402A|1%|0.0625W|321-1940-00
6.49K|S0402A|1%|.063W|321-2529-00
18.2K|S0402A|1%|0.0625W|321-1956-00
1.82K|S0402A|1%|0.0625W|321-1933-00
28.7|S0402A|1%|0.063W|321-5846-00
30.1K|S0402A|1%|0.0625W|321-1960-00
8.06K|S0402A|1%|0.063W|321-5844-00
1.21K|S0402A|1%|0.0625W|321-1929-00
39.2K|S0402A|1%|0.0625W|321-1963-00
100|S0402BBOTEST0407|1%|0.0625W|321-1907-00
13K|S0402A|1%|0.0625W|321-1953-00
357K|S0402A|1%|0.0625W|321-1984-00
1.30K|S0402A|1%|0.0625W|321-1930-00
2M|S0402A|1%|0.0625W|321-2350-00
200|S0402BBOTEST0407|1%|0.0625W|321-1870-00
3.16K|S0402A|1%|0.063W|321-5847-00
1.50K|S0402A|1%|0.0625W|321-1931-00
392|S0402A|1%|0.0625W|321-1918-00
3.400K|S0402A|0.1%|0.063W|321-2286-00
1.40K|S0402A|1%|.063W|321-2527-00
1.2M|S0402A|1%|.063W|321-2565-00
243|S0402A|1%|0.0625W|321-1913-00
