1M|S0201B|1%|0.05W|321-2466-00
75K|S0201B|1%|0.05W|321-2457-00
243|S0201B|1%|0.05W|321-2485-00
357K|S0201B|1%|0.05W|321-2434-00
68.1K|S0201B|1%|0.05W|321-2454-00
4.99K|S0201B|1%|0.05W|321-2379-00
23.7K|S0201B|1%|0.05W|321-2419-00
8.25|S0201B|1%|0.05W|321-2803-00
121|S0201B|1%|0.05W|321-2469-00
5.76K|S0201B|1%|0.05W|321-2447-00
1.62K|S0201B|1%|0.05W|321-2394-00
40.2|S0201B|1%|0.05W|321-2495-00
174|S0201B|1%|0.05W|321-2478-00
40.2|S0201B|1%|0.05W|321-2263-00
681|S0201B|1%|0.05W|321-2506-00
3.92K|S0201B|1%|0.05W|321-2428-00
750|S0201B|1%|0.05W|321-2508-00
332K|S0201B|1%|0.05W|321-2432-00
20|S0201B|5%|0.05W|321-2368-00
243K|S0201B|1%|0.05W|321-2421-00
39.2|S0201B|1%|0.05W|321-2493-00
562K|S0201B|1%|0.05W|321-2449-00
200K|S0201B|1%|0.05W|321-2416-00
221K|S0201B|1%|0.05W|321-2418-00
392K|S0201B|1%|0.05W|321-2436-00
768K|S0201B|1%|0.05W|321-2459-00
15|S0201B|1%|0.05W|321-2473-00
909|S0201B|1%|0.05W|321-2511-00
27.4K|S0201B|1%|0.05W|321-2423-00
301K|S0201B|1%|0.05W|321-2430-00
18.2|S0201B|1%|0.05W|321-2479-00
22.1|S0201B|1%|0.05W|321-2482-00
39.2K|S0201B|1%|0.05W|321-2435-00
162K|S0201B|1%|0.05W|321-2408-00
442|S0201B|1%|0.05W|321-2498-00
499|S0201B|1%|0.05W|321-2501-00
34|S0201B|1%|0.05W|321-2490-00
392|S0201B|1%|0.05W|321-2494-00
33.2K|S0201B|1%|0.05W|321-2431-00
20|S0201B|1%|0.05W|321-2481-00
2.74K|S0201B|1%|0.05W|321-2413-00
12.1K|S0201B|1%|0.05W|321-2401-00
200|S0201MAXSPC|1%|.05W|321-2269-00
4.75K|S0201B|1%|0.05W|321-2438-00
33.2|S0201B|1%|0.05W|321-2381-00
110|S0201B|1%|0.05W|321-2354-00
30.1|S0201B|1%|0.05W|321-2488-00
11.8K|S0201B|1%|0.05W|321-2399-00
20K|S0201B|1%|0.05W|321-2415-00
13K|S0201B|1%|0.05W|321-2403-00
7.50K|S0201B|1%|0.05W|321-2456-00
48.7|S0201B|1%|0.05W|321-2500-00
357|S0201B|1%|0.05W|321-2492-00
3.32K|S0201B|1%|0.05W|321-2426-00
35.7|S0201B|1%|0.05W|321-2491-00
2K|S0201B|1%|0.05W|321-2378-00
432|S0201B|1%|0.05W|321-2497-00
43.2K|S0201B|1%|0.05W|321-2439-00
82.5K|S0201B|1%|0.05W|321-2461-00
2K|S0201B|1%|.05W|321-2272-00
182K|S0201B|1%|0.05W|321-2410-00
90.9|S0201B|1%|0.05W|321-2510-00
24.3|S0201B|1%|0.05W|321-2484-00
1.50K|S0201B|1%|0.05W|321-2393-00
130|S0201B|1%|0.05W|321-2472-00
9.09K|S0201B|1%|0.05W|321-2463-00
10|S0201B|5%|0.05W|321-2367-00
