61.9|S0603E|1%|0.1W|321-5507-00
35.7K|S0603E|1%|0.1W|321-5669-00
4.75|S0603E|1%|0.100W|321-2347-00
681K|S0603E|1%|0.1W|321-5477-00
110|S0603E|1%|0.1W|321-5656-00
182|S0603E|1%|0.1W|321-5452-00
51.1K|S0603E|1%|0.100W|321-2335-00
432|S0603E|1%|0.1W|321-2757-00
4.87K|S0603E|1%|0.1W|321-5635-00
12K|S0603E|1%|0.100W|321-2792-00
0|S0603E|1%|0.1W|321-5415-00
113|S0603E|1%|0.0625W|321-5746-00
562K|S0603E|1%|0.1W|321-5476-00
1.21K|S0603E|1%|0.1W|321-5458-00
15K|S0603E|1%|0.1W|321-5467-00
3.57|S0603E|1%|0.1W|321-5596-00
16.2K|S0603E|1%|0.1W|321-5716-00
221|S0603E|1%|0.1W|321-5418-00
4.12K|S0603E|1%|0.0625W|321-5912-00
4.53K|S0603E|1%|0.100W|321-5884-00
0.510|S0603E|1%|0.2W|321-2797-00
3.3|S0603E|5%|0.100W|321-5823-00
45.3|S0603E|1%|0.1W|321-5708-00
402K|S0603E|1%|0.063W|321-5735-00
3.01K|S0603E|1%|0.063W|321-5738-00
8.87K|S0603E|1%|0.100W|321-5889-00
23.7K|S0603E|1%|0.1W|321-5675-00
75|S0603E|0.25%|0.063W|321-5688-00
2.15K|S0603E|1%|0.100W|321-2326-00
75|S0603E|1%|0.1W|321-5448-00
619|S0603E|1%|0.100W|321-5886-00
90.9|S0603E|1%|0.1W|321-5589-00
22.1K|S0603E|1%|0.1W|321-5428-00
357|S0603E|1%|0.100W|321-5878-00
27.4|S0603E|1%|0.1W|321-5441-00
3.48K|S0603E|1%|0.1W|321-5624-00
4.22K|S0603E|1%|0.1W|321-5621-00
60.40|S0603E|0.1%|0.063W|321-5797-00
1.69|S0603E|1%|0.1W|321-2775-00
4.42K|S0603E|1%|0.1W|321-5590-00
20K|S0603E|1%|0.1W|321-5469-00
620|S0603E|1%|0.063W|321-5717-00
2.55K|S0603E|1%|0.1W|321-5625-00
53.6|S0603E|1%|0.100W|321-2321-00
1K|S0603E|1%|0.1W|321-5421-00
4.99|S0603E|1%|0.1W|321-1875-00
390K|S0603E|0.1%|0.1W|321-2793-00
102K|S0603E|1%|0.1W|321-5679-00
33.2K|S0603E|1%|0.1W|321-5470-00
2.49K|S0603E|1%|0.1W|321-5727-00
40.2K|S0603TST_0209|1%|0.1W|321-5715-00
71.5K|S0603E|1%|0.1W|321-2604-00
21.8K|S0603E|1%|0.063W|321-5686-00
18.2K|S0603E|1%|0.1W|321-5468-00
1.54K|S0603E|1%|0.100W|321-2315-00
1.62K|S0603E|1%|0.1W|321-5602-00
10|S0603E|1%|0.1W|321-5416-00
475|S0603E|1%|0.1W|321-5420-00
12.1|S0603E|1%|0.1W|321-5437-00
392|S0603E|1%|0.1W|321-5419-00
118K|S0603E|1%|0.100W|321-2388-00
750|S0603E|1%|0.063W|321-5744-00
909K|S0603E|1%|0.1W|321-5703-00
1.50K|S0603E|1%|0.1W|321-5459-00
6.81K|S0603E|1%|0.1W|321-5464-00
24.3K|S0603E|1%|0.063W|321-5737-00
2.70|S0603E|5%|0.0625W|321-5593-00
36.5K|S0603E|1%|0.1W|321-2762-00
887|S0603E|1%|0.100W|321-5882-00
120K|S0603E|5%|0.063W|321-5684-00
2.61K|S0603E|1%|0.100W|321-5890-00
165K|S0603E|1%|0.063W|321-5677-00
3.74K|S0603E|1%|0.100W|321-2714-00
50|S0603E|1%|0.125W|321-2384-00
174K|S0603E|1%|0.1W|321-5676-00
681|S0603TST_0209|1%|0.1W|321-5456-00
237|S0603E|1%|0.100W|321-5891-00
365|S0603E|1%|0.1W|321-5611-00
47.5|S0603E|1%|0.1W|321-5444-00
866|S0603E|1%|0.1W|321-2363-00
365K|S0603E|1%|0.1W|321-5678-00
267K|S0603E|1%|0.1W|321-5707-00
2.21K|S0603E|1%|0.1W|321-5461-00
3.09K|S0603E|1%|0.1W|321-5598-00
46.4K|S0603E|1%|.1W|321-2588-00
23.2K|S0603E|1%|0.1W|321-2761-00
51.10|S0603E|0.5%|0.062W|325-5095-00
150K|S0603E|1%|0.1W|321-5433-00
71.50|S0603E|0.1%|0.063W|321-5798-00
2.74K|S0603E|1%|0.1W|321-5423-00
13K|S0603E|5%|0.063W|321-5683-00
4.99K|S0603E|1%|0.1W|321-5550-00
287|S0603E|1%|.10W|321-2547-00
332K|S0603TST_0209|1%|0.1W|321-2586-00
1|S0603E|5%|0.0626W|321-5587-00
43.2|S0603E|1%|0.1W|321-5620-00
0.15|S0603E|1%|0.2W|321-2789-00
26.1|S0603E|1%|0.100W|321-5877-00
47.5K|S0603E|1%|0.1W|321-5471-00
9.31K|S0603E|1%|0.100W|321-5892-00
13.3K|S0603E|1%|0.100W|321-2618-00
27K|S0603E|1%|0.1W|321-2794-00
825|S0603E|1%|0.1W|321-5457-00
1.24K|S0603E|1%|0.1W|321-5736-00
750K|S0603TST_0209|1%|0.1W|321-2587-00
3.16K|S0603E|1%|0.100W|321-2715-00
15|S0603TST_0209|1%|0.1W|321-5438-00
2.43K|S0603E|1%|0.1W|321-5636-00
40.2|S0603E|1%|0.0625W|321-5563-00
3.32K|S0603E|1%|0.1W|321-5424-00
100|S0603E|1%|0.1W|321-5417-00
11.3K|S0603E|1%|0.1W|321-2756-00
3.92K|S0603E|1%|0.1W|321-5462-00
30.90K|S0603E|0.1%|0.063W|321-2082-00
10.5K|S0603E|1%|0.100W|321-2620-00
453|S0603E|1%|0.063W|321-5742-00
11K|S0603E|1%|0.1W|321-5465-00
121K|S0603E|1%|0.1W|321-5681-00
110|S0603E|0.1%|0.063W|321-2078-00
1M|S0603E|1%|0.1W|321-5436-00
13|S0603E|1%|0.063W|321-2561-00
9.76K|S0603E|1%|0.100W|321-2365-00
2K|S0603E|1%|0.1W|321-5422-00
80.6K|S0603E|1%|0.1W|321-2515-00
37.4K|S0603E|1%|0.100W|321-5880-00
6.34K|S0603E|1%|0.100W|321-5879-00
10K|S0603E|1%|0.1W|321-5427-00
56.2K|S0603E|1%|0.1W|321-5472-00
196K|S0603E|1%|0.1W|321-5610-00
182|S0603E|0.5%|0.125W|321-5666-00
7.50K|S0603E|1%|0.1W|321-5647-00
301|S0603E|1%|0.1W|321-5506-00
374|S0603E|1%|0.1W|321-2589-00
121|S0603TST_0209|1%|0.1W|321-5450-00
332|S0603E|1%|0.1W|321-5454-00
178|S0603E|0.1%|0.100W|321-5801-00
2.10K|S0603E|1%|0.1W|321-5632-00
1.43K|S0603E|1%|0.1W|321-5634-00
18.2|S0603E|1%|0.1W|321-5439-00
6.04K|S0603E|1%|0.1W|321-5754-00
562|S0603TST_0209|1%|0.1W|321-5455-00
68.1|S0603E|1%|0.1W|321-5447-00
8.06K|S0603E|1%|0.100W|321-2710-00
110K|S0603E|1%|0.063W|321-5733-00
4.70|S0603E|5%|0.1W|321-1868-00
1.82K|S0603E|1%|0.1W|321-5460-00
12.1K|S0603E|1%|0.1W|321-5466-00
86.6K|S0603E|1%|0.1W|321-5480-00
2.26K|S0603E|1%|0.1W|321-5600-00
24.9|S0603E|1%|0.100W|321-5875-00
24.9K|S0603E|1%|0.1W|321-5673-00
37.4|S0603E|1%|0.1W|321-5741-00
5.11K|S0603E|1%|0.1W|321-5739-00
10M|S0603E|5%|0.0625W|321-5479-00
95.3|S0603E|1%|0.100W|321-5885-00
249|S0603E|1%|0.1W|321-5685-00
240K|S0603E|1%|0.1W|321-1869-00
249|S0603E|1%|0.0625W|321-5726-00
82.5|S0603E|1%|0.1W|321-5449-00
1.15K|S0603E|1%|0.1W|321-2741-00
86.6|S0603E|1%|0.0625W|321-5657-00
60.4|S0603E|1%|0.1W|321-5752-00
1.91|S0603E|1%|0.1W|321-2776-00
24.3|S0603E|1%|0.1W|325-5124-00
3.57K|S0603E|1%|0.1W|321-2747-00
1.40K|S0603E|1%|0.1W|321-2760-00
15.8|S0603E|1%|0.1W|321-5709-00
499|S0603E|1%|0.1W|321-5734-00
332K|S0603TST_0209|1%|0.1W|321-5434-00
1|S0603E|1%|0.100W|321-5883-00
31.6|S0603E|1%|0.1W|321-5903-00
953K|S0603E|1%|0.1W|321-5906-00
10.7K|S0603E|1%|0.0625W|321-5630-00
475K|S0603TST_0209|1%|0.1W|321-5435-00
60.4|S0603E|1%|0.1W|325-5125-00
768K|S0603E|1%|0.063W|321-5680-00
2K|S0603E|0.1%|0.100W|321-5810-00
49.9|S0603E|1%|0.1W|321-5445-00
52.3K|S0603E|1%|0.1W|321-5905-00
6.81|S0603E|1%|0.1W|321-1872-00
200K|S0603E|1%|0.1W|321-5474-00
1K|S0603E|0.1%|0.063W|321-2079-00
4.75K|S0603E|1%|0.1W|321-5425-00
909|S0603E|1%|0.1W|321-5508-00
